"Period","Passenger_type","Direction","Country","Count"
201503,"Overseas visitor","Departure","Ireland",1274
201503,"Overseas visitor","Departure","Israel",1040
201503,"Overseas visitor","Departure","Italy",1040
201503,"Overseas visitor","Departure","Jamaica",52
201503,"Overseas visitor","Departure","Japan",12402
201503,"Overseas visitor","Departure","Jordan",26
201503,"Overseas visitor","Departure","Kazakhstan",26
201503,"Overseas visitor","Departure","Kenya",52
201503,"Overseas visitor","Departure","Kiribati",104
201503,"Overseas visitor","Departure","Korea, Democratic People's Republic of",26
201503,"Overseas visitor","Departure","Korea, Republic of",6188
201503,"Overseas visitor","Departure","Kuwait",52
201503,"Overseas visitor","Departure","Laos",26
201503,"Overseas visitor","Departure","Latvia",52
201503,"Overseas visitor","Departure","Lithuania",104
201503,"Overseas visitor","Departure","Macau (Special Administrative Region)",26
201503,"Overseas visitor","Departure","Madagascar",26
201503,"Overseas visitor","Departure","Malaysia",2470
201503,"Overseas visitor","Departure","Maldives",26
201503,"Overseas visitor","Departure","Malta",26
201503,"Overseas visitor","Departure","Marshall Islands",26
201503,"Overseas visitor","Departure","Mauritius",26
201503,"Overseas visitor","Departure","Mexico",260
201503,"Overseas visitor","Departure","Monaco",26
201503,"Overseas visitor","Departure","Mongolia",52
201503,"Overseas visitor","Departure","Morocco",26
201503,"Overseas visitor","Departure","Myanmar",26
201503,"Overseas visitor","Departure","Nepal",26
201503,"Overseas visitor","Departure","Netherlands",4030
201503,"Overseas visitor","Departure","New Caledonia",1690
201503,"Overseas visitor","Departure","New Zealand",1638
201503,"Overseas visitor","Departure","Niue",260
201503,"Overseas visitor","Departure","Norfolk Island",130
201503,"Overseas visitor","Departure","Norway",520
201503,"Overseas visitor","Departure","Not Stated",12610
201503,"Overseas visitor","Departure","Oman",104
201503,"Overseas visitor","Departure","Pakistan",182
201503,"Overseas visitor","Departure","Papua New Guinea",208
201503,"Overseas visitor","Departure","Peru",26
201503,"Overseas visitor","Departure","Philippines",1118
201503,"Overseas visitor","Departure","Poland",598
201503,"Overseas visitor","Departure","Portugal",208
201503,"Overseas visitor","Departure","Puerto Rico",52
201503,"Overseas visitor","Departure","Qatar",52
201503,"Overseas visitor","Departure","Reunion",26
201503,"Overseas visitor","Departure","Romania",104
201503,"Overseas visitor","Departure","Russia",442
201503,"Overseas visitor","Departure","Samoa",1586
201503,"Overseas visitor","Departure","Samoa, American",104
201503,"Overseas visitor","Departure","Saudi Arabia",260
201503,"Overseas visitor","Departure","Serbia",26
201503,"Overseas visitor","Departure","Singapore",3302
201503,"Overseas visitor","Departure","Slovakia",78
201503,"Overseas visitor","Departure","Slovenia",78
201503,"Overseas visitor","Departure","Solomon Islands",130
201503,"Overseas visitor","Departure","South Africa",1638
201503,"Overseas visitor","Departure","Spain",1014
201503,"Overseas visitor","Departure","Sri Lanka",390
201503,"Overseas visitor","Departure","Sweden",1924
201503,"Overseas visitor","Departure","Switzerland",2912
201503,"Overseas visitor","Departure","Taiwan",3354
201503,"Overseas visitor","Departure","Tanzania",26
201503,"Overseas visitor","Departure","Thailand",1456
201503,"Overseas visitor","Departure","Tonga",1196
201503,"Overseas visitor","Departure","Trinidad and Tobago",52
201503,"Overseas visitor","Departure","Turkey",78
201503,"Overseas visitor","Departure","Tuvalu",52
201503,"Overseas visitor","Departure","Uganda",26
201503,"Overseas visitor","Departure","Ukraine",78
201503,"Overseas visitor","Departure","United Arab Emirates",754
201503,"Overseas visitor","Departure","United Kingdom",34788
201503,"Overseas visitor","Departure","United States of America",33436
201503,"Overseas visitor","Departure","Uruguay",260
201503,"Overseas visitor","Departure","Vanuatu",390
201503,"Overseas visitor","Departure","Viet Nam",416
201503,"Overseas visitor","Departure","Zimbabwe",104
201504,"Overseas visitor","Arrival","Andorra",16
201504,"Overseas visitor","Arrival","Angola",16
